L39	WF1	SG1	R1	COMP:mežs+L23	COMP:UNR+ābols	mežābols	mežābols	(mež)-(āb)-ol-s	NOUN		COMP	mežs+ābols	"meža ābols"		LVK2018
L4	WF1	SG1	R1	DERIV:L1	DERIV:ābele	ābelīte	ābelīte	(āb)-el-īt-e	NOUN		DERIV	ābele			LVK2018
L40	WF1	SG1	R1	COMP:punduris+L1	COMP:UNR+ābele	pundurābele	pundurābele	(pundur)-(āb)-el-e	NOUN		COMP	punduris+ābele	"pundura ābele"		LVK2018
L41	WF1	SG1	R1	COMP:roze+L1	COMP:UNR+ābele	rožābele_sugasv	rožābele	(rož)-(āb)-el-e	NOUN		COMP	roze+ābele	"rožu ābele"		LVK2018
L42	WF1	SG1	R1	COMP:roze+L23	COMP:UNR+ābols	rožābols	rožābols	(rož)-(āb)-ol-s	NOUN		COMP	roze+ābols	"rožu ābols"		LVK2018
L43	WF1	SG1	R1	COMP:siers+L14	COMP:UNR+āboliņš	sierāboliņš	sierāboliņš	(sier)-(āb)-ol-iņ-š	NOUN		COMP	siers+āboliņš	"siera āboliņš"		LVK2018
L44	WF1	SG1	R1	COMP:vilks+L1	COMP:UNR+ābele	vilkābele	vilkābele	(vilk)-(āb)-el-e	NOUN		COMP	vilks+ābele	"vilku ābele"		LVK2018
L45	WF1	SG1	R1	COMP:zelts+L1	COMP:UNR+ābele	zeltābele_sugasv	zeltābele	(zel)-t-(āb)-el-e	NOUN		COMP	zelts+ābele	"zelta ābele"		Latvju-dainas
L46	WF1	SG1	R1	COMP:zelts+L23	COMP:UNR+ābols	zeltābols	zeltābols	(zel)-t-(āb)-ol-s	NOUN		COMP	zelts+ābols	"zelta ābols"		LVK2018
L47	WF1	SG1	R1	COMP:zemene+L23	COMP:UNR+ābols	zemeņābols_sugasv	zemeņābols	(zem)-eņ-(āb)-ol-s	NOUN		COMP	zemene+ābols	"zemeņu ābols"		Tīmeklis2020
L48	WF1	SG1	R1	COMP:zirgs+L23	COMP:UNR+ābols	zirgābols	zirgābols	(zirg)-(āb)-ol-s	NOUN		COMP	zirgs+ābols	"zirga ābols"		LVK2018
L49	WF1	SG2	R2	COMP:L51+daiviņa	COMP:apelsīns+UNR	Apelsīndaiviņa	apelsīndaiviņa	(apelsīn)-(daiv)-iņ-a,(apel)-(sīn)-(daiv)-iņ-a	NOUN		COMP	apelsīns+daiviņa	"apelsīna daiviņa"		LVK2018
L5	WF1	SG1	R1	SEMANT:L4	SEMANT:ābelīte	ābelīte_prop	Ābelīte	(Āb)-el-īt-e	PROPN		SEMANT	ābelīte			LVK2018
L50	WF1	SG2	R2	COMP:L51+krāsa	COMP:apelsīns+UNR	apelsīnkrasas	apelsīnkrāsa	(apelsīn)-(krās)-a,(apel)-(sīn)-(krās)-a	NOUN		COMP	apelsīns+krāsa	"apelsīna krāsa"		LVK2018
L51	WF1	SG2	R2			apelsīns	apelsīns	(apelsīn)-s,(apel)-(sīn)-s	NOUN		NONE				LVK2018
L52	WF1	SG2	R2	COMP:puse+L51	COMP:UNR+apelsīns	pusapelsīns	pusapelsīns	(pus)-(apelsīn)-s,(pus)-(apel)-(sīn)-s	NOUN		COMP	puse+apelsīns	"puse apelsīna"		LVK2018
L53	WF1	SG3	R3			Apfelbauma_uzv	Apfelbauma	(Apfelbaum)-a,(Apfel)-(baum)-a	PROPN		NONE				LVK2022
L54	WF1	SG3	R3			Apfelbaums_uzv	Apfelbaums	(Apfelbaum)-s,(Apfel)-(baum)-s	PROPN		NONE				LVK2018
L6	WF1,WF244	SG1,SG269	R1,R401	COMP:L1+L4987	COMP:ābele+dārzs	ābeļdārzs	ābeļdārzs	(āb)-eļ-(dārz)-s	NOUN		COMP	ābele+dārzs	"ābeļu dārzs"		LVK2018
L7	WF1	SG1	R1	COMP:L1+zieds	COMP:ābele+UNR	ābeļzieds	ābeļzieds	(āb)-eļ-(zied)-s	NOUN		COMP	ābele+zieds	"ābeļu zieds"		LVK2018
L8	WF1	SG1	R1	SEMANT:L23	SEMANT:ābols	Ābola	Ābola	(Āb)-ol-a	PROPN		SEMANT	ābols			LVK2018
L9	WF1	SG1	R1	SEMANT:L23	SEMANT:ābols	Ābols_prop	Ābols	(Āb)-ol-s	PROPN		SEMANT	ābols			LVK2018
