MORPHID	MORPHTYPE	FORM	WFID	SGID	SG_LABEL	STRATUM	DEPTH	WF_LABEL	PROVENANCE	ROOTLEMMAS
R485	ROOT_SG	dom	WF289	SG324	dom, domj	BORROWED	0	dom, domj	SG_ROOT	L6781;L6782;L6783;L6784;L6785;L6786;L6787;L6788;L6789;L6790;L6791;L6792;L6793;L6794;L6795;L6796;L6797;L6798;L6799;L6800;L6801;L2955;L3393;L3394;L3395;L3396;L3397;L3398;L6802;L6803;L6804;L6805;L6806;L6807;L6808;L6809;L6810;L6811;L6812;L5249;L6813;L6814;L6815;L6816;L6817;L6818;L6819;L6820;L6821;L6822;L6823;L2572;L2573;L6824;L6825;L6826;L6827;L6828;L6829;L6830;L6831;L6832;L6833;L6834;L6835;L6836;L6837;L6838;L6839;L6840;L6841;L6842;L6843;L6844;L6845;L6846;L6847;L6848;L6849;L6850;L6851;L6852;L6853;L6854;L6855;L6856;L6857;L6858;L6859;L6860;L6861;L6862;L6863;L6864;L6865;L6866;L6867;L6868;L6869;L6870;L6871;L6872;L6873;L6874;L6875;L6876;L6877;L6878;L6879;L6880;L6881;L6882;L6883;L6884;L6885
R486	ROOT_SG	domj	WF289	SG324	dom, domj	BORROWED	0	dom, domj	SG_ROOT	L6886;L6887;L6888;L6889;L6890;L6891;L6892;L6893;L6894
R487	ROOT_SG	dom	WF290	SG325	dom	BORROWED	0	zero-element	SG_ROOT	L6895;L6896;L6897;L6898;L6899;L6900;L6901;L6902;L6903;L6904;L6905;L6906;L6907;L6908;L6909;L6910;L6911;L6912;L6913;L6914;L6915;L6916;L6917;L6918
R488	ROOT_SG	dom	WF290	SG326	dom	BORROWED	0	zero-element	SG_ROOT	L6919
R489	ROOT_SG	domoded	WF291	SG327	domoded	BORROWED	0	domoded	SG_ROOT	L6920
R490	ROOT_SG	domin	WF292	SG328	domin		0	domin	SG_ROOT	L6921
R491	ROOT_SG	dāv	WF293	SG329	dāv, dev, dēv, do, dod		0	zero-element	SG_ROOT	L6922;L6923;L6924;L6925;L6926;L6927;L6928;L6929;L6930;L6931;L6932;L6933;L6934;L6935;L6936;L6937;L6938;L6939;L6940;L6941;L6942;L6943;L6944;L6945;L6946;L6947;L6948;L6949;L6950;L6951;L6952;L6953
R492	ROOT_SG	dev	WF293	SG329	dāv, dev, dēv, do, dod		0	zero-element	SG_ROOT	L6954;L6955;L6956;L6957;L6958;L6959;L6960;L6961;L6962;L1708;L2428;L6963;L6964;L6965;L6966;L6967;L6968;L6969;L6970;L6971;L6972;L6973;L6974;L6975;L6976;L6977;L6978;L6979;L5269;L6980;L6981;L6982;L6983;L6984;L6985;L6986;L6987;L6988;L6989;L6990;L6991;L6992;L6993;L6994;L6995;L6996;L6997;L6998;L6999;L7000;L7001;L7002;L7003;L7004;L7005;L7006;L7007;L7008;L7009;L7010;L7011;L7012;L7013;L7014;L7015;L7016;L7017;L7018;L7019;L7020;L7021;L7022;L7023;L7024;L6857;L6858;L6859;L7025;L7026;L7027;L7028;L7029;L7030;L7031;L7032;L7033;L7034;L7035;L7036;L7037;L7038;L7039;L7040;L7041;L7042;L7043;L7044;L7045;L7046;L7047;L7048;L7049;L7050
R493	ROOT_SG	dēv	WF293	SG329	dāv, dev, dēv, do, dod		0	zero-element	SG_ROOT	L7136;L7137;L7138;L7139;L7140;L7141;L7142;L7143;L7144;L7145;L7146;L7147;L7148;L7149;L7150
R494	ROOT_SG	do	WF293	SG329	dāv, dev, dēv, do, dod		0	zero-element	SG_ROOT	L7051;L7052;L7053;L7054;L7055;L7056;L7057;L7058;L7059;L7060;L7061;L2400;L6635;L7062;L7063;L7064;L7065;L7066;L7067;L7068;L7069;L7070;L7071;L7072;L7073;L7074;L7075;L7076;L7077;L7078;L7079;L7080;L7081;L7082;L7083;L7084;L7085;L7086;L7087;L7088;L7089;L7090;L7091;L7092;L7093;L7094;L7095;L7096;L7097;L7098;L7099;L7100;L7101;L7102;L7103;L7104;L7105;L7106;L7107;L7108;L7109;L7110;L7111;L7112;L7113;L7114;L7115;L7116;L7117;L7118;L7119;L7120;L7121;L7122;L7123;L7124;L7125;L7126;L7127;L7128;L7129;L7130;L7131;L7132;L7133;L7134;L7135
R495	ROOT_SG	dod	WF293	SG329	dāv, dev, dēv, do, dod		0	zero-element	SG_ROOT	L7151
R496	ROOT_SG	dat	WF293	SG330	dat	BORROWED	0	zero-element	SG_ROOT	L7152
R497	ROOT_SG	dat	WF293	SG331	dat, d	BORROWED	0	zero-element	SG_ROOT	L7153;L7154;L7155;L7156;L7157;L7158;L7159;L7160;L7161;L7162;L7163;L7164;L7165;L7166;L7167;L7168;L7169;L7170;L6552;L7171;L7172;L7173;L7174;L7175;L7176;L7177;L7178;L7179;L7180;L7181;L7182;L7183;L7184;L7185;L7186;L7187;L7188;L7189;L7190;L7191;L7192;L7193;L7194;L7195;L7196;L7197;L7198;L7199;L7200;L7201;L7202;L7203;L7204;L7205;L7206;L7207;L7208;L7209;L7210;L7211;L7212;L7213;L7214;L7215;L7216;L7217;L7218;L7219;L7220;L7221;L7222;L7223;L7224;L7225;L7226;L7227;L7228;L7229;L7230;L7231;L7232;L7233;L7234;L7235;L7236;L7237;L7238;L7239;L7240;L7241;L7242;L7243;L7244;L7245;L7246;L7247;L7248;L7249;L7250;L7251;L7252;L7253;L7254;L7255;L7256;L7257;L7258;L7259;L7260;L7261;L7262;L7263;L7264;L7265
R498	ROOT_SG	d	WF293	SG331	dat, d	BORROWED	0	zero-element	SG_ROOT	L7266
R499	ROOT_SG	d	WF293	SG332	d	BORROWED	0	zero-element	SG_ROOT	L7267;L7268;L7269;L7270;L7271;L7272;L7273;L7274;L7275;L7276
R500	ROOT_SG	d	WF293	SG333	d	BORROWED	0	zero-element	SG_ROOT	L7277;L7278;L7279
R501	ROOT_SG	dot	WF293	SG334	dot	BORROWED	0	zero-element	SG_ROOT	L7280;L7281;L7282;L7283
R502	ROOT_SG	dot	WF293	SG335	dot, aņ	BORROWED	0	zero-element	SG_ROOT	L7284;L7285;L7286;L7288
R503	ROOT_SG	aņ	WF293	SG335	dot, aņ	BORROWED	0	zero-element	SG_ROOT	L7287
R504	ROOT_SG	dāļ	WF294	SG336	dāļ		0	dāļ	SG_ROOT	L7289;L7290;L7291
R505	ROOT_SG	dāv	WF295	SG337	dāv, dāvj, dāvid, deivid, dēvid	BORROWED	0	dāv, dāvj, dāvid, deivid, dēvid	SG_ROOT	L7295;L7296;L7298
R506	ROOT_SG	dāvj	WF295	SG337	dāv, dāvj, dāvid, deivid, dēvid	BORROWED	0	dāv, dāvj, dāvid, deivid, dēvid	SG_ROOT	L7297
R507	ROOT_SG	dāvid	WF295	SG337	dāv, dāvj, dāvid, deivid, dēvid	BORROWED	0	dāv, dāvj, dāvid, deivid, dēvid	SG_ROOT	L7292;L7293;L7294
R508	ROOT_SG	deivid	WF295	SG337	dāv, dāvj, dāvid, deivid, dēvid	BORROWED	0	dāv, dāvj, dāvid, deivid, dēvid	SG_ROOT	L7299;L7300;L7301
R509	ROOT_SG	dēvid	WF295	SG337	dāv, dāvj, dāvid, deivid, dēvid	BORROWED	0	dāv, dāvj, dāvid, deivid, dēvid	SG_ROOT	L7302
R510	ROOT_SG	draudz	WF296	SG338	draudz, draug, drauģ		0	draudz, draug, drauģ	SG_ROOT	L7303;L7304;L7305;L7306;L7307;L7308;L7309;L7310;L7311;L7312;L7313;L7314;L7315;L7316;L7317;L7318;L7319;L7320;L7321;L7322;L7323;L7324;L7325;L7326;L7327;L7328;L7329;L7330;L7331
R511	ROOT_SG	draug	WF296	SG338	draudz, draug, drauģ		0	draudz, draug, drauģ	SG_ROOT	L7332;L7333;L7334;L7335;L7336;L7337;L7338;L7339;L7340;L7341;L6593
R512	ROOT_SG	drauģ	WF296	SG338	draudz, draug, drauģ		0	draudz, draug, drauģ	SG_ROOT	L7342
R513	ROOT_SG	duk	WF297	SG339	duk, duc	BORROWED	0	duk, duc	SG_ROOT	L7343;L7344;L7345;L7346;L7347;L1076;L7348;L7349;L7350;L2987;L3819;L3820;L7351;L7352;L7353;L7354;L7355;L7356;L7357;L7358;L7359;L7360;L7361;L7362;L7363;L7364;L7365;L7366;L7367;L7368;L7369;L7370;L7371;L7372;L7373;L7374;L7375;L7376;L7377;L7378;L7379;L7380;L7381;L7382;L7383;L7384;L7385;L7386;L7387;L7388;L7389;L7390;L7391;L7392;L7393;L7394;L7395;L7396;L7397;L7398;L7399;L7400;L7401;L7402;L7403;L7404;L7405
R514	ROOT_SG	duc	WF297	SG339	duk, duc	BORROWED	0	duk, duc	SG_ROOT	L7406;L7407;L7408;L7409;L7410;L7411;L7412;L7413;L7414;L7415;L7416;L7417;L7418;L7419;L7420;L7421;L7422;L7423;L7424;L7425;L7426;L7427;L7428;L7429;L7430;L7431;L7432
R515	ROOT_SG	dok	WF298	SG340	dok		0	dok	SG_ROOT	L6767
